symbol,name,price,open,high,low,close,marketCap,volume,industry
LIN,Linde plc Ordinary Shares,478.705,481.6700134277344,483.4800109863281,477.7099914550781,478.7099914550781,220673508929.0,2401073,Basic Materials
SCCO,Southern Copper Corporation Common Stock,187.8,188.3300018310547,190.4499969482422,185.47000122070312,187.8000030517578,156687494387.0,751878,Basic Materials
NEM,Newmont Corporation,115.98,118.30999755859375,119.44000244140625,115.83000183105469,115.9800033569336,122207229591.0,6539148,Basic Materials
FCX,Freeport-McMoRan Inc. Common Stock,66.32,67.08000183105469,68.02999877929688,65.70999908447266,66.31999969482422,95236682125.0,10486824,Basic Materials
APD,Air Products and Chemicals Inc. Common Stock,303.23,302.6700134277344,304.9800109863281,302.25,303.2300109863281,67524933262.0,609994,Basic Materials
IP,International Paper Company Common Stock,40.05,40.130001068115234,40.58000183105469,39.9900016784668,40.04999923706055,21209274295.0,3435552,Basic Materials
CDE,Coeur Mining Inc. Common Stock,18.51,18.860000610351562,19.030000686645508,18.489999771118164,18.510000228881836,19027076813.0,38571428,Basic Materials
MP,MP Materials Corp. Common Stock,56.67,56.349998474121094,58.9900016784668,55.599998474121094,56.66999816894531,10093016992.0,4748319,Basic Materials
CLF,Cleveland-Cliffs Inc. Common Stock,11.88,12.100000381469727,12.300000190734863,11.75,11.880000114440918,6778015758.0,13332259,Basic Materials
AUGO,Aura Minerals Inc. Common Shares,76.24,75.45999908447266,76.91999816894531,74.08999633789062,76.23999786376953,6388090362.0,564192,Basic Materials
FBIN,Fortune Brands Innovations Inc. Common Stock,45.3,46.349998474121094,46.36000061035156,45.25,45.29999923706055,5407527908.0,3189432,Basic Materials
LPX,Louisiana-Pacific Corporation Common Stock,71.23,72.0199966430664,72.0199966430664,70.12000274658203,71.2300033569336,4980644494.0,1100051,Basic Materials
TREX,Trex Company Inc. Common Stock,47.73,48.459999084472656,49.0,47.599998474121094,47.72999954223633,4862025519.0,1274935,Basic Materials
UFPI,UFP Industries Inc. Common Stock,87.2,88.30000305175781,88.7300033569336,86.58000183105469,87.19999694824219,4810082015.0,292805,Basic Materials
USAR,USA Rare Earth Inc. Class A Common Stock,18.51,18.389999389648438,19.5,18.219999313354492,18.510000228881836,4529769032.0,8848809,Basic Materials
HYMC,Hycroft Mining Holding Corporation Class A Common Stock,24.19,25.18000030517578,26.06999969482422,23.924999237060547,24.190000534057617,2254064863.0,2043210,Basic Materials
MTX,Minerals Technologies Inc. Common Stock,71.72,72.55999755859375,73.19999694824219,71.1500015258789,71.72000122070312,2232554811.0,199804,Basic Materials
