symbol,name,price,open,high,low,close,marketCap,volume,industry
JPM,JP Morgan Chase & Co. Common Stock,340.0,353.6700134277344,354.5,350.0799865722656,352.0400085449219,903783306300.0,11470239,Finance
BAC,Bank of America Corporation Common Stock,56.2,58.04999923706055,58.279998779296875,57.470001220703125,57.959999084472656,392992458113.0,45098431,Finance
MS,Morgan Stanley Common Stock,200.18,205.49000549316406,206.66000366210938,203.17999267578125,206.1199951171875,314395960333.0,7799579,Finance
GS,Goldman Sachs Group Inc. (The) Common Stock,949.49,956.5,962.219970703125,942.6199951171875,959.3900146484375,276464340182.0,2052387,Finance
WFC,Wells Fargo & Company Common Stock,83.15,86.83000183105469,87.1500015258789,86.2300033569336,86.54000091552734,251445544788.0,15861289,Finance
C,Citigroup Inc. Common Stock,132.47,133.74000549316406,135.72999572753906,132.6199951171875,135.0500030517578,222210050644.0,11482798,Finance
AXP,American Express Company Common Stock,305.07,315.17999267578125,315.30999755859375,310.739990234375,313.5899963378906,206016770753.0,5097574,Finance
SCHW,Charles Schwab Corporation (The) Common Stock,100.35,105.9000015258789,107.41000366210938,105.33000183105469,106.87999725341797,173538838900.0,16912225,Finance
BLK,BlackRock Inc. Common Stock,1066.66,1080.0,1091.1800537109375,1064.9000244140625,1090.27001953125,165192843805.0,500035,Finance
COF,Capital One Financial Corporation Common Stock,200.55,204.9600067138672,205.6199951171875,202.32000732421875,204.9199981689453,123034383860.0,2913110,Finance
PGR,Progressive Corporation (The) Common Stock,206.94,214.11000061035156,215.55999755859375,211.83999633789062,212.24000549316406,120309074084.0,4808021,Finance
SPGI,S&P Global Inc. Common Stock,402.44,408.95001220703125,410.989990234375,403.2200012207031,404.4700012207031,118639312000.0,1555499,Finance
HOOD,Robinhood Markets Inc. Class A Common Stock,124.25,125.04499816894531,126.41000366210938,121.50499725341797,123.30000305175781,111710972420.0,16001678,Finance
BNY,The Bank of New York Mellon Corporation Common Stock,150.17,155.19000244140625,155.47999572753906,153.24000549316406,153.88999938964844,101890967004.0,6136144,Finance
CME,CME Group Inc. Class A Common Stock,267.21,276.3800048828125,277.739990234375,273.8699951171875,275.5299987792969,96083174866.0,1798890,Finance
BX,Blackstone Inc. Common Stock,124.01,126.3499984741211,127.08000183105469,124.55000305175781,126.41000366210938,93085020387.0,3020747,Finance
USB,U.S. Bancorp Common Stock,59.44,60.439998626708984,60.66999816894531,59.869998931884766,60.439998626708984,92610577950.0,9478057,Finance
PNC,PNC Financial Services Group Inc. (The) Common Stock,227.96,234.5800018310547,235.32000732421875,232.47999572753906,233.25,90943198329.0,2526237,Finance
KKR,KKR & Co. Inc. Common Stock,98.44,100.29000091552734,101.0999984741211,98.8499984741211,100.83000183105469,88363248562.0,3454533,Finance
ICE,Intercontinental Exchange Inc. Common Stock,152.93,156.22000122070312,157.22000122070312,154.25999450683594,155.3699951171875,85854058897.0,2700836,Finance
MCO,Moody's Corporation Common Stock,469.25,472.8699951171875,474.1499938964844,466.3900146484375,467.2200012207031,81274100000.0,761711,Finance
MRSH,Marsh Common Stock,170.01,175.16000366210938,175.7899932861328,172.72000122070312,172.72000122070312,81130687673.0,3622617,Finance
TRV,The Travelers Companies Inc. Common Stock,362.01,374.6099853515625,376.6600036621094,370.67999267578125,371.1300048828125,75506243714.0,1649983,Finance
APO,Apollo Global Management Inc. (New) Common Stock,124.15,127.37000274658203,128.6300048828125,126.16999816894531,127.91000366210938,73315933190.0,3053102,Finance
MET,MetLife Inc. Common Stock,95.92,97.44000244140625,97.83999633789062,96.54000091552734,96.63999938964844,60954946838.0,2638573,Finance
AON,Aon plc Class A Ordinary Shares (Ireland),286.1,297.010009765625,297.8699951171875,290.70001220703125,290.82000732421875,60689086667.0,2544515,Finance
AJG,Arthur J. Gallagher & Co. Common Stock,230.45,239.72000122070312,240.7100067138672,236.5800018310547,236.61000061035156,59064335000.0,1624910,Finance
TFC,Truist Financial Corporation Common Stock,48.07,48.81999969482422,49.2400016784668,48.68000030517578,49.0,58723570857.0,10226746,Finance
ALL,Allstate Corporation (The) Common Stock,229.5,250.0,251.5,241.52999877929688,242.86000061035156,58030899525.0,5257115,Finance
AFL,AFLAC Incorporated Common Stock,114.6,116.41000366210938,116.7300033569336,114.98999786376953,115.18000030517578,57453941951.0,1997734,Finance
COIN,Coinbase Global Inc. Class A Common Stock,201.07,205.19000244140625,208.3300018310547,200.64999389648438,201.0500030517578,53049690108.0,7281600,Finance
NDAQ,Nasdaq Inc. Common Stock,94.5,94.44999694824219,94.88999938964844,93.4800033569336,94.69000244140625,52823361654.0,3938753,Finance
HBANL,Huntington Bancshares Incorporated Depositary Shares Each Representing a 1/40th Interest in a Share of 6.875% Series J Non-Cumulative Perpetual Preferred Stock,25.15,25.059999465942383,25.25,25.031999588012695,25.149999618530273,50813432874.0,40896,Finance
STT,State Street Corporation Common Stock,180.25,185.00999450683594,185.4600067138672,183.0500030517578,184.39999389648438,49514993141.0,3990899,Finance
FITB,Fifth Third Bancorp Common Stock,52.76,53.400001525878906,53.4900016784668,52.95000076293945,53.310001373291016,47847651677.0,8069367,Finance
AMP,Ameriprise Financial Inc. Common Stock,512.37,550.219970703125,552.510009765625,534.1199951171875,535.719970703125,46060568929.0,1046716,Finance
IBKR,Interactive Brokers Group Inc. Class A Common Stock,91.88,92.5,93.94000244140625,91.58000183105469,93.20999908447266,41628822351.0,4062514,Finance
ARES,Ares Management Corporation Class A Common Stock,124.72,126.43000030517578,127.94999694824219,125.05000305175781,126.66999816894531,41192176001.0,2369999,Finance
CBRE,CBRE Group Inc Common Stock Class A,141.05,141.4499969482422,143.60000610351562,140.72999572753906,143.2100067138672,40844595783.0,1590403,Finance
PRU,Prudential Financial Inc. Common Stock,117.66,119.25,119.7699966430664,118.44999694824219,118.52999877929688,40592700000.0,1411273,Finance
HBANM,Huntington Bancshares Incorporated Depositary Shares each representing a 1/1000th interest in a share of Huntington Series I Preferred Stock,20.07,20.209999084472656,20.43000030517578,19.860000610351562,20.010000228881836,40549725558.0,15889,Finance
AIG,American International Group Inc. New Common Stock,75.18,75.33000183105469,75.66999816894531,74.44999694824219,74.54000091552734,39311108445.0,4473406,Finance
