symbol,name,price,open,high,low,close,marketCap,volume,industry
LLY,Eli Lilly and Company Common Stock,1209.0,1238.300048828125,1240.0999755859375,1206.0,1209.0,1138100691585.0,1927291,Health Care
JNJ,Johnson & Johnson Common Stock,262.08,261.7300109863281,262.6199951171875,259.6499938964844,262.0799865722656,631586224302.0,4852727,Health Care
ABBV,AbbVie Inc. Common Stock,250.82,252.94000244140625,255.3000030517578,249.35000610351562,250.82000732421875,443228357424.0,4370410,Health Care
UNH,UnitedHealth Group Incorporated Common Stock (DE),399.06,405.5899963378906,407.32000732421875,398.5899963378906,399.05999755859375,358194199644.0,4170226,Health Care
MRK,Merck & Company Inc. Common Stock (new),135.55,133.86000061035156,135.67999267578125,133.05999755859375,135.5500030517578,334425115531.0,8895217,Health Care
PM,Philip Morris International Inc Common Stock,188.91,187.92999267578125,191.44000244140625,187.1999969482422,188.91000366210938,294437664761.0,3353926,Health Care
AMGN,Amgen Inc. Common Stock,417.84,419.9200134277344,420.260009765625,415.7799987792969,417.8399963378906,225897676969.0,2778006,Health Care
ABT,Abbott Laboratories Common Stock,111.27,112.47000122070312,112.47000122070312,110.45999908447266,111.2699966430664,192539749346.0,5523723,Health Care
GILD,Gilead Sciences Inc. Common Stock,138.14,136.94000244140625,138.3000030517578,136.02999877929688,138.13999938964844,171287405112.0,4897035,Health Care
PFE,Pfizer Inc. Common Stock,26.8,26.489999771118164,26.950000762939453,26.40999984741211,26.799999237060547,152751252185.0,35355836,Health Care
ISRG,Intuitive Surgical Inc. Common Stock,401.27,403.7200012207031,404.69000244140625,398.0,401.2699890136719,141759878308.0,2355579,Health Care
BMY,Bristol-Myers Squibb Company Common Stock,64.65,64.05000305175781,65.0199966430664,63.90999984741211,64.6500015258789,132061502510.0,10526101,Health Care
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,516.44,528.6799926757812,529.0,515.739990234375,516.4400024414062,130897359591.0,863536,Health Care
SYK,Stryker Corporation Common Stock,341.09,345.0199890136719,346.6400146484375,339.5299987792969,341.0899963378906,130832930260.0,2017201,Health Care
MDT,Medtronic plc. Ordinary Shares,90.58,91.44000244140625,91.61000061035156,90.41000366210938,90.58000183105469,115946493310.0,6475828,Health Care
MO,Altria Group Inc.,65.08,65.0,66.02999877929688,64.72000122070312,65.08000183105469,108666934704.0,10796224,Health Care
MCK,McKesson Corporation Common Stock,856.69,873.0900268554688,875.4600219726562,856.6900024414062,856.6900024414062,99881798078.0,992497,Health Care
MMM,3M Company Common Stock,182.65,184.17999267578125,184.69000244140625,180.49000549316406,182.64999389648438,94196699465.0,2853062,Health Care
HCA,HCA Healthcare Inc. Common Stock,411.74,414.5899963378906,415.8500061035156,405.2699890136719,411.739990234375,89142327610.0,1079849,Health Care
ELV,Elevance Health Inc. Common Stock,398.22,400.79998779296875,404.7200012207031,397.6300048828125,398.2200012207031,86361688664.0,652286,Health Care
REGN,Regeneron Pharmaceuticals Inc. Common Stock,805.97,802.2100219726562,815.7999877929688,794.489990234375,805.969970703125,82978631678.0,709748,Health Care
BSX,Boston Scientific Corporation Common Stock,51.69,51.56999969482422,52.34000015258789,51.220001220703125,51.689998626708984,74910674199.0,15699996,Health Care
CI,The Cigna Group Common Stock,277.99,278.5899963378906,280.32000732421875,277.239990234375,277.989990234375,73456212703.0,1400044,Health Care
COR,Cencora Inc. Common Stock,310.01,312.1000061035156,315.29998779296875,309.7099914550781,310.010009765625,59158329422.0,1542854,Health Care
CAH,Cardinal Health Inc. Common Stock,231.24,233.0,235.6699981689453,229.36000061035156,231.24000549316406,53780811343.0,2845420,Health Care
