symbol,name,price,open,high,low,close,marketCap,volume,industry
TSLA,Tesla Inc. Common Stock,364.27,369.0,370.8999938964844,360.75,364.2699890136719,1438701629212.0,51818959,Industrials
CAT,Caterpillar Inc. Common Stock,808.99,800.7899780273438,809.489990234375,799.5700073242188,808.989990234375,371872388452.0,4786791,Industrials
RTX,RTX Corporation Common Stock,194.0,193.0,194.0,191.17999267578125,194.0,261465079936.0,9831701,Industrials
TMO,Thermo Fisher Scientific Inc Common Stock,651.45,656.6099853515625,660.0999755859375,646.8099975585938,651.4500122070312,240871869465.0,4579500,Industrials
DE,Deere & Company Common Stock,683.99,684.760009765625,688.0,679.6300048828125,683.989990234375,184421085554.0,2243029,Industrials
UNP,Union Pacific Corporation Common Stock,279.37,281.25,281.3399963378906,278.70001220703125,279.3699951171875,165966871876.0,4852970,Industrials
BA,Boeing Company (The) Common Stock,198.2,196.8300018310547,199.6300048828125,195.4600067138672,198.1999969482422,156651337964.0,9813617,Industrials
DHR,Danaher Corporation Common Stock,211.81,212.63999938964844,214.97999572753906,210.10000610351562,211.80999755859375,148899476098.0,8830011,Industrials
GLW,Corning Incorporated Common Stock,150.13,152.0,153.77000427246094,148.67999267578125,150.1300048828125,129320230133.0,14468195,Industrials
LMT,Lockheed Martin Corporation Common Stock,533.38,536.97998046875,538.0999755859375,527.0999755859375,533.3800048828125,123099171835.0,2857437,Industrials
PH,Parker-Hannifin Corporation Common Stock,943.54,925.1400146484375,943.8900146484375,923.1500244140625,943.5399780273438,118930828900.0,1064889,Industrials
GD,General Dynamics Corporation Common Stock,353.05,355.4800109863281,355.7200012207031,349.8399963378906,353.04998779296875,95520217695.0,2693577,Industrials
PWR,Quanta Services Inc. Common Stock,636.71,617.6400146484375,637.969970703125,617.6400146484375,636.7100219726562,93806343587.0,1313481,Industrials
HWM,Howmet Aerospace Inc. Common Stock,229.67,225.77999877929688,230.36000061035156,224.24000549316406,229.6699981689453,91592717308.0,4731964,Industrials
CSX,CSX Corporation Common Stock,47.1,47.630001068115234,47.880001068115234,47.0,47.099998474121094,87251568591.0,25735400,Industrials
