symbol,name,price,open,high,low,close,marketCap,volume,industry
WELL,Welltower Inc. Common Stock,237.09,238.58999633789062,240.2899932861328,235.64500427246094,236.96499633789062,170881420433.0,283489,Real Estate
PLD,Prologis Inc. Common Stock,135.225,134.0,135.75999450683594,133.1300048828125,135.3000030517578,128203577100.0,1459227,Real Estate
EQIX,Equinix Inc. Common Stock REIT,1011.735,1027.530029296875,1027.530029296875,997.7550048828125,1011.4099731445312,99829598235.0,149092,Real Estate
AMT,American Tower Corporation (REIT) Common Stock,177.91,179.1300048828125,179.47000122070312,174.85000610351562,177.67999267578125,82898952140.0,471564,Real Estate
DLR,Digital Realty Trust Inc. Common Stock,182.89,186.1300048828125,185.7550048828125,179.32000732421875,182.9499969482422,67675916229.0,645134,Real Estate
SPG,Simon Property Group Inc. Common Stock,205.98,205.0,207.32000732421875,204.00999450683594,205.42469787597656,66645141060.0,222680,Real Estate
O,Realty Income Corporation Common Stock,59.64,59.95000076293945,60.45000076293945,59.3849983215332,59.55500030517578,56432443488.0,3187085,Real Estate
PSA,Public Storage Common Stock,297.03,297.57000732421875,301.2974853515625,294.69000244140625,297.0299987792969,52164745432.0,186506,Real Estate
VMRK,Vivmark Residential Common Shares of Beneficial Interest,65.8,65.2699966430664,66.08499908447266,65.37000274658203,65.93000030517578,51817500000.0,1621477,Real Estate
VTR,Ventas Inc. Common Stock,90.495,90.91000366210938,92.08999633789062,89.95999908447266,90.58999633789062,46419080758.0,566167,Real Estate
IRM,Iron Mountain Incorporated (Delaware)Common Stock REIT,113.6,113.26000213623047,113.96499633789062,110.5,113.80999755859375,33819039443.0,378699,Real Estate
CCI,Crown Castle Inc. Common Stock,74.835,74.98999786376953,75.41500091552734,73.11000061035156,74.86280059814453,31838957778.0,908460,Real Estate
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,25.86,25.834999084472656,25.860000610351562,25.81999969482422,25.860000610351562,30656550219.0,9173,Real Estate
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,25.71,25.709999084472656,25.710100173950195,25.660999298095703,25.66510009765625,30478728002.0,7004,Real Estate
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,25.475,25.459999084472656,25.478900909423828,25.450000762939453,25.478900909423828,30200139862.0,3177,Real Estate
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,25.46,25.399999618530273,25.459999084472656,25.399999618530273,25.459999084472656,30182357641.0,14846,Real Estate
AGNCZ,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 8.75% Series H Fixed-Rate Cumulative Redeemable Preferred Stock,25.33,25.18000030517578,25.3700008392334,25.18000030517578,25.350000381469727,30028245053.0,18962,Real Estate
AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,25.26,25.1200008392334,25.399999618530273,25.1200008392334,25.260000228881836,29945261351.0,7288,Real Estate
EXR,Extra Space Storage Inc Common Stock,139.43,138.6999969482422,140.10499572753906,137.4250030517578,139.3350067138672,29457314472.0,491747,Real Estate
VICI,VICI Properties Inc. Common Stock,25.075,25.0,25.329999923706055,24.940000534057617,25.05500030517578,27609519867.0,1956145,Real Estate
SBAC,SBA Communications Corporation Class A Common Stock,183.685,185.14999389648438,186.27000427246094,180.97000122070312,183.72000122070312,19486794485.0,179055,Real Estate
ESS,Essex Property Trust Inc. Common Stock,273.105,274.7200012207031,275.489990234375,271.82501220703125,273.45001220703125,17552032033.0,56924,Real Estate
NLY,Annaly Capital Management Inc. Common Stock,21.875,21.8799991607666,22.065000534057617,21.68000030517578,21.885000228881836,16487503419.0,2616443,Real Estate
WY,Weyerhaeuser Company Common Stock,22.16,22.059999465942383,22.264999389648438,22.0049991607666,22.155000686645508,15971509760.0,1373727,Real Estate
WPC,W. P. Carey Inc. REIT,69.17,69.45999908447266,69.83999633789062,68.8550033569336,69.1500015258789,15758093520.0,157979,Real Estate
KIM,Kimco Realty Corporation (HC) Common Stock,23.225,23.34000015258789,23.579999923706055,23.1299991607666,23.225000381469727,15579083188.0,1285775,Real Estate
HST,Host Hotels & Resorts Inc. Common Stock,22.285,22.270000457763672,22.354999542236328,22.084999084472656,22.330799102783203,15267997232.0,1570246,Real Estate
LAMR,Lamar Advertising Company Class A Common Stock,149.63,149.3800048828125,149.9550018310547,148.41000366210938,149.36000061035156,15194879217.0,71232,Real Estate
MAA,Mid-America Apartment Communities Inc. Common Stock,124.105,124.45999908447266,125.69000244140625,123.5,124.3499984741211,14398904973.0,192066,Real Estate
OHI,Omega Healthcare Investors Inc. Common Stock,47.45,47.5,47.970001220703125,47.09000015258789,47.415000915527344,14377966850.0,367199,Real Estate
SUI,Sun Communities Inc. Common Stock,116.47,115.30999755859375,117.05999755859375,115.22010040283203,117.05500030517578,14186157462.0,186448,Real Estate
DOC,Healthpeak Properties Inc. Common Stock,20.305,20.25,20.489999771118164,20.155000686645508,20.250099182128906,14000851014.0,600009,Real Estate
REG,Regency Centers Corporation Common Stock,74.62,74.88999938964844,75.82499694824219,74.48999786376953,74.62999725341797,13664455217.0,216385,Real Estate
AHR,American Healthcare REIT Inc. Common Stock,54.31,54.400001525878906,54.724998474121094,53.790000915527344,54.310001373291016,12664288212.0,393841,Real Estate
AGNC,AGNC Investment Corp. Common Stock,10.1,10.0600004196167,10.199999809265137,10.020000457763672,10.119999885559082,11973362615.0,11861827,Real Estate
GLPI,Gaming and Leisure Properties Inc. Common Stock,41.12,40.52000045776367,41.31999969482422,40.52000045776367,41.08000183105469,11962632168.0,1010513,Real Estate
ELS,Equity Lifestyle Properties Inc. Common Stock,60.815,60.5,61.130001068115234,60.349998474121094,60.915000915527344,11802039804.0,237386,Real Estate
AMH,American Homes 4 Rent Common Shares of Beneficial Interest,31.35,31.479999542236328,31.829999923706055,31.229999542236328,31.360700607299805,11260291244.0,456773,Real Estate
UDR,UDR Inc. Common Stock,35.025,35.20000076293945,35.40999984741211,34.869998931884766,35.04999923706055,11252279376.0,617288,Real Estate
EGP,EastGroup Properties Inc. Common Stock,198.8,199.72999572753906,199.1300048828125,196.57000732421875,198.44000244140625,10690135420.0,67757,Real Estate
BXP,BXP Inc. Common Stock,64.9,64.01000213623047,65.5199966430664,64.2699966430664,64.83499908447266,10362034984.0,297588,Real Estate
CPT,Camden Property Trust Common Stock,102.65,103.23999786376953,103.73500061035156,102.01000213623047,102.88999938964844,10320364278.0,129375,Real Estate
FRT,Federal Realty Investment Trust Common Stock,114.805,114.73999786376953,116.0,114.33000183105469,114.63500213623047,9975306914.0,102927,Real Estate
CTRE,CareTrust REIT Inc. Common Stock,38.57,39.060001373291016,39.38999938964844,38.45000076293945,38.59000015258789,9113828685.0,437658,Real Estate
ARE,Alexandria Real Estate Equities Inc. Common Stock,51.94,51.380001068115234,52.31999969482422,51.209999084472656,51.970001220703125,9050418786.0,373098,Real Estate
CUBE,CubeSmart Common Shares,39.59,39.720001220703125,40.060001373291016,39.27000045776367,39.59000015258789,8914173596.0,626695,Real Estate
ADC,Agree Realty Corporation Common Stock,70.975,71.52999877929688,72.19999694824219,70.75,70.75,8827821527.0,209405,Real Estate
BRX,Brixmor Property Group Inc. Common Stock,28.75,28.8700008392334,29.190000534057617,28.610000610351562,28.704999923706055,8822579085.0,1042010,Real Estate
LINE,Lineage Inc. Common Stock,38.37,37.97999954223633,38.56999969482422,37.61000061035156,38.48500061035156,8737233160.0,205323,Real Estate
REXR,Rexford Industrial Realty Inc. Common Stock,38.11,38.11000061035156,38.42499923706055,37.70000076293945,38.130001068115234,8498077406.0,449118,Real Estate
NNN,NNN REIT Inc. Common Stock,44.09,44.119998931884766,44.47999954223633,43.84000015258789,43.95000076293945,8462255426.0,242855,Real Estate
RHP,Ryman Hospitality Properties Inc. (REIT),122.32,120.79000091552734,123.16999816894531,121.2699966430664,123.11499786376953,8438043984.0,70485,Real Estate
FR,First Industrial Realty Trust Inc. Common Stock,61.35,61.29999923706055,61.72999954223633,60.849998474121094,61.290000915527344,8133350237.0,95773,Real Estate
STAG,Stag Industrial Inc. Common Stock,37.275,37.060001373291016,37.31999969482422,36.79999923706055,37.18000030517578,7186930463.0,265973,Real Estate
VNO,Vornado Realty Trust Common Stock,35.28,34.88999938964844,35.689998626708984,34.810001373291016,35.220001220703125,6587500334.0,117590,Real Estate
HR,Healthcare Realty Trust Incorporated Common Stock,19.02,19.049999237060547,19.219999313354492,18.934999465942383,19.0,6518529835.0,498421,Real Estate
MAC,Macerich Company (The) Common Stock,22.5999,22.700000762939453,23.094999313354492,22.415000915527344,22.635000228881836,6408413519.0,366495,Real Estate
EPRT,Essential Properties Realty Trust Inc. Common Stock,28.74,28.84000015258789,29.190000534057617,28.610000610351562,28.645000457763672,6215686135.0,370991,Real Estate
RYN,Rayonier Inc. REIT Common Stock,20.235,20.1299991607666,20.360000610351562,20.059999465942383,20.209999084472656,6021274133.0,634679,Real Estate
STWD,STARWOOD PROPERTY TRUST INC. Starwood Property Trust Inc.,15.485,15.600000381469727,15.769200325012207,15.390000343322754,15.47920036315918,5732066191.0,1293495,Real Estate
RITM,Rithm Capital Corp. Common Stock,9.75,9.699999809265137,9.8100004196167,9.6899995803833,9.755000114440918,5444468552.0,1254280,Real Estate
SBRA,Sabra Health Care REIT Inc. Common Stock,20.66,20.670000076293945,20.875,20.5049991607666,20.625,5277860539.0,273427,Real Estate
KRG,Kite Realty Group Trust Common Stock,26.005,26.040000915527344,26.360000610351562,25.850000381469727,25.969999313354492,5210021993.0,334009,Real Estate
OUT,OUTFRONT Media Inc. Common Stock,28.83,28.809999465942383,28.850000381469727,28.475000381469727,28.670000076293945,5077979286.0,199179,Real Estate
PECO,Phillips Edison & Company Inc. Common Stock,38.47,38.58000183105469,39.119998931884766,38.34000015258789,38.474998474121094,4951089000.0,217970,Real Estate
LAUR,Laureate Education Inc. Common Stock,35.795,36.189998626708984,36.97999954223633,35.72999954223633,35.900001525878906,4930738341.0,155689,Real Estate
GHC,Graham Holdings Company Common Stock,1144.21,1144.1700439453125,1152.489990234375,1125.010009765625,1146.25,4845646967.0,9872,Real Estate
CUZ,Cousins Properties Incorporated Common Stock,28.09,28.110000610351562,28.264999389648438,27.850000381469727,28.06999969482422,4623671809.0,236753,Real Estate
EPR,EPR Properties Common Stock,59.21,59.38999938964844,60.04999923706055,58.88999938964844,59.125,4536014272.0,144137,Real Estate
DHCNL,Diversified Healthcare Trust 6.25% Senior Notes Due 2046,18.76,18.670000076293945,18.770000457763672,18.670000076293945,18.760000228881836,4528933337.0,2803,Real Estate
DHCNI,Diversified Healthcare Trust 5.625% Senior Notes due 2042,17.7501,18.124000549316406,18.124000549316406,17.75,17.84000015258789,4285128978.0,3561,Real Estate
