symbol,name,price,open,high,low,close,marketCap,volume,industry
BRK/B,Berkshire Hathaway Inc.,506.34,505.30999755859375,507.5,504.66668701171875,506.2099914550781,1117143699592.0,127045,Uncategorized
BRK/A,Berkshire Hathaway Inc.,759362.37,757225.0,760222.5,759764.25,759929.0,1116926366611.0,32,Uncategorized
TPGXL,TPG Operating Group II L.P. 6.950% Fixed-Rate Junior Subordinated Notes due 2064,21.6,21.600000381469727,21.6200008392334,21.600000381469727,21.610000610351562,7880236740.0,421,Uncategorized
OTF,Blue Owl Technology Finance Corp. Common Stock,11.43,11.270000457763672,11.430000305175781,11.300000190734863,11.364999771118164,5237058996.0,19606,Uncategorized
GEF,Greif Inc. Class A Common Stock,85.21,84.70999908447266,85.63999938964844,84.70999908447266,85.29000091552734,3934002632.0,17628,Uncategorized
BELFB,Bel Fuse Inc. Class B Common Stock,247.4,241.41000366210938,252.47000122070312,241.25,252.47000122070312,3572319930.0,14157,Uncategorized
BELFA,Bel Fuse Inc. Class A Common Stock,207.2,203.1999969482422,208.55499267578125,202.25059509277344,206.35000610351562,2991854040.0,12673,Uncategorized
NMFCZ,New Mountain Finance Corporation 8.250% Notes due 2028,25.25,25.25,25.25,25.25,25.25,2685614265.0,2,Uncategorized
BTX,BlackRock Technology and Private Equity Term Trust Common Shares of Beneficial Interest,8.9153,8.869999885559082,8.915300369262695,8.850000381469727,8.895000457763672,2102193630.0,8298,Uncategorized
CNL,Collective Mining Ltd. Common Shares,16.53,16.59000015258789,17.0,16.530000686645508,16.530000686645508,1533036947.0,3931,Uncategorized
VSECU,VSE Corporation Tangible Equity Units,51.87,49.7599983215332,52.22999954223633,49.7599983215332,51.869998931884766,1455730098.0,96,Uncategorized
DEC,Diversified Energy Company Common Stock,15.58,15.670000076293945,15.729999542236328,15.400099754333496,15.520000457763672,1195863014.0,28405,Uncategorized
KBDC,Kayne Anderson BDC Inc. Common Stock,13.46,13.449999809265137,13.479999542236328,13.378800392150879,13.420000076293945,888868923.0,11936,Uncategorized
NCDL,Nuveen Churchill Direct Lending Corp. Common Stock,12.47,12.550000190734863,12.5,12.457599639892578,12.550000190734863,615856701.0,1739,Uncategorized
WHFCL,WhiteHorse Finance Inc. 7.875% Notes due 2028,25.075,25.09000015258789,25.09000015258789,25.09000015258789,25.09000015258789,582820432.0,2,Uncategorized
TMS,Teamshares Inc. Common Stock,6.2,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,456695199.0,111,Uncategorized
SWKHL,SWK Holdings Corporation 9.00% Senior Notes due 2027,25.48,25.459999084472656,25.459999084472656,25.459999084472656,25.459999084472656,309515523.0,117,Uncategorized
PPHC,Public Policy Holding Company Inc. Common Stock,10.97,11.25,11.25,10.970000267028809,11.15999984741211,275728526.0,20755,Uncategorized
NXG,NXG NextGen Infrastructure Income Fund Common Shares of Beneficial Interest,55.045,54.66999816894531,55.56999969482422,55.040000915527344,55.36000061035156,143211347.0,3973,Uncategorized
BLUW,Blue Water Acquisition Corp. III Class A Ordinary Shares,10.375,10.369999885559082,10.380000114440918,10.369999885559082,10.375,75166875.0,12,Uncategorized
TMSWW,Teamshares Inc. Warrants,0.99,1.0,0.9898999929428101,0.9898999929428101,0.9898999929428101,72923911.0,2769,Uncategorized
SGRX,SANGRIX INC. Class A Ordinary Shares,2.65,3.359999895095825,3.440000057220459,2.299999952316284,2.300299882888794,2205309.0,8087511,Uncategorized
AACO,Abony Acquisition Corp. I Class A Ordinary Share,9.97,9.970000267028809,9.970000267028809,9.970000267028809,9.970000267028809,0.0,5,Uncategorized
AACOU,Abony Acquisition Corp. I Units,10.06,10.069999694824219,10.069999694824219,10.0600004196167,10.0600004196167,0.0,5000,Uncategorized
ADAC,American Drive Acquisition Company Class A Ordinary Shares,10.09,10.09000015258789,10.09000015258789,10.09000015258789,10.09000015258789,0.0,4,Uncategorized
ADACW,American Drive Acquisition Company Warrant,0.4,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.0,100,Uncategorized
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,17.89,17.889999389648438,18.104299545288086,18.065000534057617,18.065000534057617,0.0,626,Uncategorized
AFJK,Aimei Health Technology Co. Ltd Ordinary Share,12.2,12.149999618530273,12.493800163269043,12.149999618530273,12.300000190734863,0.0,1608,Uncategorized
AFJKR,Aimei Health Technology Co. Ltd Right,0.1001,0.10010000318288803,0.10010000318288803,0.10010000318288803,0.10010000318288803,0.0,543,Uncategorized
AFJKU,Aimei Health Technology Co. Ltd Unit,11.81,11.8100004196167,11.8100004196167,11.8100004196167,11.8100004196167,0.0,59,Uncategorized
ALDF,Aldel Financial II Inc. Class A Ordinary Shares,10.805,10.805000305175781,10.805000305175781,10.805000305175781,10.805000305175781,0.0,3,Uncategorized
ALF,Centurion Acquisition Corp. Class A Ordinary Shares,10.89,10.890000343322754,10.890000343322754,10.890000343322754,10.890000343322754,0.0,6,Uncategorized
ALIS,Calisa Acquisition Corp Ordinary shares,10.3,10.295000076293945,10.295000076293945,10.29010009765625,10.29010009765625,0.0,248,Uncategorized
ALOV,Aldabra 4 Liquidity Opportunity Vehicle Inc. Class A Ordinary Shares,9.98,10.0,10.0,9.970000267028809,9.979999542236328,0.0,5,Uncategorized
ARCI,Archimedes Tech SPAC Partners III Co. Ordinary Share,10.11,10.109999656677246,10.109999656677246,10.109999656677246,10.109999656677246,0.0,4,Uncategorized
ARTCW,Art Technology Acquisition Corp. Warrants,0.36,,,,,0.0,1,Uncategorized
ATII,Archimedes Tech SPAC Partners II Co. Ordinary Shares,10.64,10.670000076293945,10.670000076293945,10.640000343322754,10.640000343322754,0.0,5007,Uncategorized
BEAG,Bold Eagle Acquisition Corp. Class A Ordinary Shares,10.7499,10.749799728393555,10.749799728393555,10.749799728393555,10.749799728393555,0.0,4,Uncategorized
BEAGU,Bold Eagle Acquisition Corp. Units,11.22,11.220000267028809,11.220000267028809,11.220000267028809,11.220000267028809,0.0,2,Uncategorized
BIXI,Bitcoin Infrastructure Acquisition Corp Ltd. Class A Ordinary Shares,10.1,10.100000381469727,10.100000381469727,10.100000381469727,10.100000381469727,0.0,9,Uncategorized
BIXIW,Bitcoin Infrastructure Acquisition Corp Ltd. Warrant,0.375,0.38999998569488525,0.4000000059604645,0.375,0.375,0.0,1387,Uncategorized
BKHAU,Black Hawk Acquisition Corporation Units,12.47,12.470000267028809,12.470000267028809,12.470000267028809,12.470000267028809,0.0,1,Uncategorized
BLRK,Bluerock Acquisition Corp. Class A Ordinary Shares,10.09,10.095000267028809,10.095000267028809,10.095000267028809,10.095000267028809,0.0,4,Uncategorized
BLRKU,Bluerock Acquisition Corp. Unit,10.23,10.229999542236328,10.229999542236328,10.229999542236328,10.229999542236328,0.0,2,Uncategorized
BLRKW,Bluerock Acquisition Corp. Warrants,0.3349,0.33489999175071716,0.33489999175071716,0.33489999175071716,0.33489999175071716,0.0,1,Uncategorized
BLZRU,Trailblazer Acquisition Corp. Unit,10.3,10.279999732971191,10.300000190734863,10.279999732971191,10.300000190734863,0.0,10,Uncategorized
BPAC,Blueport Acquisition Ltd Class A Ordinary Shares,10.185,10.1850004196167,10.1850004196167,10.1850004196167,10.1850004196167,0.0,3,Uncategorized
BRTMU,B&R Technology Merger Corp. Units,9.96,9.960000038146973,9.970000267028809,9.960000038146973,9.960000038146973,0.0,1,Uncategorized
CAPN,Cayson Acquisition Corp Ordinary shares,11.1801,11.180000305175781,11.180000305175781,11.180000305175781,11.180000305175781,0.0,3,Uncategorized
CAQ,Cambridge Acquisition Corp. Class A Ordinary Shares,10.03,9.989999771118164,10.050000190734863,9.970000267028809,10.029999732971191,0.0,3,Uncategorized
CATLU,Catalyst Acquisition Corp. Units,9.98,9.979999542236328,9.979999542236328,9.979999542236328,9.979999542236328,0.0,6,Uncategorized
CCCT,Columbus Circle Capital Corp III Class A Ordinary Shares,9.83,9.84000015258789,9.84000015258789,9.829999923706055,9.829999923706055,0.0,3,Uncategorized
CCII,Cohen Circle Acquisition Corp. II Class A Ordinary Shares,10.34,10.34000015258789,10.34000015258789,10.34000015258789,10.34000015258789,0.0,29,Uncategorized
CCIIU,Cohen Circle Acquisition Corp. II Unit,10.4701,10.470000267028809,10.470000267028809,10.470000267028809,10.470000267028809,0.0,1,Uncategorized
CCIIW,Cohen Circle Acquisition Corp. II Warrant,0.75,0.75,0.75,0.75,0.75,0.0,52,Uncategorized
CCXIW,Churchill Capital Corp XI Warrants,6.7001,6.800000190734863,6.800000190734863,6.700099945068359,6.700099945068359,0.0,905,Uncategorized
CEPV,Cantor Equity Partners V Inc. Class A Ordinary Shares,10.38,10.380000114440918,10.380000114440918,10.380000114440918,10.380000114440918,0.0,4,Uncategorized
CHAR,Charlton Aria Acquisition Corporation Class A Ordinary Shares,10.95,10.949999809265137,10.949999809265137,10.949999809265137,10.949999809265137,0.0,4,Uncategorized
CHARR,Charlton Aria Acquisition Corporation Rights,0.13,0.12999999523162842,0.12999999523162842,0.12999999523162842,0.12999999523162842,0.0,38,Uncategorized
CHPG,ChampionsGate Acquisition Corporation Class A Ordinary Share,10.48,10.479999542236328,10.479999542236328,10.479999542236328,10.479999542236328,0.0,4,Uncategorized
DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,14.225,14.239999771118164,14.25,14.225000381469727,14.25,0.0,817,Uncategorized
DMAA,Drugs Made In America Acquisition Corp. Ordinary Shares,10.75,10.760000228881836,10.760000228881836,10.760000228881836,10.760000228881836,0.0,3,Uncategorized
DMIIU,Drugs Made In America Acquisition II Corp. Unit,10.1999,10.199999809265137,10.199999809265137,10.199999809265137,10.199999809265137,0.0,21,Uncategorized
DRDB,Roman DBDR Acquisition Corp. II Ordinary shares,10.67,10.670000076293945,10.670000076293945,10.670000076293945,10.670000076293945,0.0,3,Uncategorized
DRDBW,Roman DBDR Acquisition Corp. II Warrants,0.1666,0.6592000126838684,0.16990000009536743,0.16660000383853912,0.16990000009536743,0.0,200,Uncategorized
DTSQ,DT Cloud Star Acquisition Corporation Ordinary Shares,11.35,11.350000381469727,11.350000381469727,11.350000381469727,11.350000381469727,0.0,4,Uncategorized
DYNC,Dynamix Corporation Class A Ordinary Shares,10.87,10.869999885559082,10.875,10.869999885559082,10.875,0.0,30345,Uncategorized
DYNCW,Dynamix Corporation Warrant,0.15,0.11100000143051147,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.0,1317,Uncategorized
ECCU,Eagle Point Credit Company 7.75% Notes due 2030,25.62,25.6200008392334,25.645000457763672,25.479999542236328,25.6200008392334,0.0,100,Uncategorized
EMISR,Emmis Acquisition Corp. Rights,0.0806,0.08820000290870667,0.0786999985575676,0.0786999985575676,0.0786999985575676,0.0,13927,Uncategorized
EURK,Eureka Acquisition Corp Class A Ordinary Share,11.505,11.543000221252441,11.543000221252441,11.479999542236328,11.505000114440918,0.0,3,Uncategorized
