symbol,name,price,open,high,low,close,marketCap,volume,industry
NEE,NextEra Energy Inc. Common Stock,86.01,85.75,86.23999786376953,85.45999908447266,86.01000213623047,179414985756.0,8559687,Utilities
SO,Southern Company (The) Common Stock,92.79,92.81999969482422,93.00499725341797,92.44000244140625,92.79000091552734,106742179615.0,3447681,Utilities
CEG,Constellation Energy Corporation Common Stock ,278.64,279.25,282.7300109863281,276.69500732421875,278.6400146484375,98724208085.0,2232513,Utilities
DUK,Duke Energy Corporation (Holding Company) Common Stock,124.49,123.7699966430664,124.65499877929688,123.62000274658203,124.48999786376953,97065126007.0,3325752,Utilities
WM,Waste Management Inc. Common Stock,224.21,227.58999633789062,228.3699951171875,224.1699981689453,224.2100067138672,89620141405.0,2232807,Utilities
WMB,Williams Companies Inc. (The) Common Stock,73.04,73.5,74.02999877929688,73.04000091552734,73.04000091552734,89340152155.0,3942120,Utilities
EPD,Enterprise Products Partners L.P. Common Stock,38.02,37.7599983215332,38.18000030517578,37.7599983215332,38.02000045776367,82103321965.0,2356951,Utilities
ET,Energy Transfer LP Common Units ,20.76,20.93000030517578,21.114999771118164,20.75,20.760000228881836,71482899717.0,8102759,Utilities
KMI,Kinder Morgan Inc. Common Stock,32.08,31.639999389648438,32.3849983215332,31.575000762939453,32.08000183105469,71435811015.0,16333022,Utilities
AEP,American Electric Power Company Inc. Common Stock,125.38,124.70999908447266,125.9000015258789,124.57009887695312,125.37999725341797,68256539994.0,2245962,Utilities
RSG,Republic Services Inc. Common Stock,215.22,215.25999450683594,216.7899932861328,215.11000061035156,215.22000122070312,65903157125.0,1363805,Utilities
CIEN,Ciena Corporation Common Stock,442.79,430.32000732421875,462.69000244140625,428.0,442.7900085449219,62678218332.0,2910430,Utilities
D,Dominion Energy Inc. Common Stock,68.54,67.94000244140625,68.7249984741211,67.9000015258789,68.54000091552734,60282708544.0,2754920,Utilities
OKE,ONEOK Inc. Common Stock,92.64,91.95999908447266,93.44999694824219,91.66000366210938,92.63999938964844,58397445951.0,3476129,Utilities
TRGP,Targa Resources Inc. Common Stock,266.88,267.17999267578125,270.54998779296875,265.66009521484375,266.8800048828125,57227350884.0,693726,Utilities
SRE,DBA Sempra Common Stock,86.48,86.19000244140625,86.9800033569336,85.8499984741211,86.4800033569336,56549302095.0,3799211,Utilities
SOMN,Southern Company (The) 2025 Series A Corporate Units,49.11,49.084999084472656,49.165000915527344,48.97999954223633,49.11000061035156,56494325260.0,24236,Utilities
LNG,Cheniere Energy Inc. Common Stock,266.48,266.04998779296875,270.1799011230469,265.0,266.4800109863281,55037222424.0,1142175,Utilities
ETR,Entergy Corporation Common Stock,106.91,107.30000305175781,107.83999633789062,106.5999984741211,106.91000366210938,49887573451.0,1682668,Utilities
XEL,Xcel Energy Inc. Common Stock,78.98,78.95999908447266,79.44999694824219,78.61000061035156,78.9800033569336,49333617488.0,3567667,Utilities
