symbol,name,industry,close,dayChangePct,volume,volRatio,sma50,smaLong,at20DayHigh,trendUp,trendSkipped,score,vix,employees
VEEE,Twin Vee PowerCats Co. Common Stock,Industrials,17.24,100.93,29603115,10.38,10.17,4.67,true,true,false,121.68,14.69,80
AVAT,Avalanche Treasury Corporation Class A Common Stock,Finance,1.87,73.15,23108818,23.83,0.64,,true,true,true,120.81,14.69,5
PRTH,Priority Technology Holdings Inc. Common Stock,Real Estate,7.8,33.79,18687419,23.8,6.08,5.73,true,true,false,81.39,14.69,1200
BNCWZ,CEA Industries Inc. Warrant,Uncategorized,0.2565,74.97,36007,1.78,0.07,,true,true,true,78.52,14.69,109
GRAL,GRAIL Inc. Common Stock ,Health Care,107.97,33.68,3521160,5.03,74.71,70.6,true,true,false,43.74,14.69,910
NUAI,New Era Energy & Digital Inc. Common Stock,Energy,7.65,30.55,25475708,4.02,5.27,4.97,true,true,false,38.58,14.69,5
WBD,Warner Bros. Discovery Inc. Series A Common Stock ,Consumer Discretionary,30.8,10.79,234056961,12.23,27.7,27.62,true,true,false,35.24,14.69,35500
OPTXW,Syntec Optics Holdings Inc. Warrant,Technology,1.67,24.63,132696,3.74,1.5,1.37,true,true,false,32.11,14.69,164
NNVC,NanoViricides Inc. Common Stock,Health Care,1.69,19.01,1686323,4.79,1.34,1.24,true,true,false,28.59,14.69,7
HWH,HWH International Inc. Common Stock,Health Care,2.68,15.02,712830,3.96,1.73,1.46,true,true,false,22.94,14.69,4
GRPN,Groupon Inc. Common Stock,Consumer Discretionary,22.05,15.57,2513431,2.05,21.74,16.77,true,true,false,19.68,14.69,1734
FSLY,Fastly Inc. Class A Common Stock,Technology,27.42,14.92,9850470,2.2,22.8,19.92,true,true,false,19.31,14.69,1140
FIVN,Five9 Inc. Common Stock,Technology,37.01,13.98,4044372,2.09,30.04,21.83,true,true,false,18.17,14.69,2910
CIX,CompX International Inc. Common Stock,Consumer Discretionary,38.49,3.02,104219,7.45,31.08,25.88,true,true,false,17.93,14.69,549
INTC,Intel Corporation Common Stock,Technology,121.78,12.14,190309203,2.19,104.29,80.43,true,true,false,16.52,14.69,85100
DOCN,DigitalOcean Holdings Inc. Common Stock,Technology,146.16,12.31,4597365,1.79,126.45,105.06,true,true,false,15.88,14.69,1462
ALAB,Astera Labs Inc. Common Stock,Technology,340.74,12.36,6124773,1.71,330.86,235.59,true,true,false,15.78,14.69,756
AKAM,Akamai Technologies Inc. Common Stock,Real Estate,117.41,12.33,4703065,1.66,113.79,112.21,true,true,false,15.66,14.69,11000
NAKA,Kindly MD Inc. Common Stock,Health Care,10.05,9.6,512098,2.72,6,2.5,true,true,false,15.04,14.69,65
AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock,Health Care,20.16,7.75,5906144,3.38,17.62,14.64,true,true,false,14.51,14.69,8700
AMD,Advanced Micro Devices Inc. Common Stock,Technology,615.52,9.95,44269692,2.17,506.44,361.26,true,true,false,14.28,14.69,31000
P,Everpure Inc.,Uncategorized,113.66,9.14,7332227,1.88,94.14,,true,true,true,12.89,14.69,6400
QCOM,QUALCOMM Incorporated Common Stock,Technology,194.23,9.29,18391692,1.65,174.29,168.7,true,true,false,12.59,14.69,52000
AMBQ,Ambiq Micro Inc. Common Stock,Technology,71.09,8.6,807807,1.93,68.02,52.47,true,true,false,12.45,14.69,202
TWLO,Twilio Inc. Class A Common Stock,Technology,266.06,9.11,3021040,1.66,225.84,170.7,true,true,false,12.43,14.69,5587
TKNO,Alpha Teknova Inc. Common Stock,Health Care,8.34,7.06,438270,2.12,6.64,4.29,true,true,false,11.29,14.69,158
AMC,AMC Entertainment Holdings Inc. Class A Common Stock,Consumer Discretionary,2.89,7.04,54857848,2.11,2.38,1.76,true,true,false,11.26,14.69,33311
XERS,Xeris Biopharma Holdings Inc. Common Stock,Health Care,8.8,7.32,3231384,1.9,8.3,7.02,true,true,false,11.11,14.69,435
NEOG,Neogen Corporation Common Stock,Health Care,13.61,4.69,4398533,2.82,11.17,9.93,true,true,false,10.34,14.69,2636
FWDI,Forward Industries Inc. Common Stock,Industrials,8.17,6.1,3316082,2.02,5.24,5.21,true,true,false,10.14,14.69,60
MXL,MaxLinear Inc. Common Stock,Technology,85.98,5.99,4081574,1.68,77.85,52.14,true,true,false,9.34,14.69,1115
NTSK,Netskope Inc. Class A Common Stock,Technology,18.4,5.2,8089521,1.89,14.26,12.32,true,true,false,8.99,14.69,3281
SNX,TD SYNNEX Corporation Common Stock,Technology,279.59,5.05,1174377,1.82,256.84,213.44,true,true,false,8.68,14.69,30000
SDGR,Schrodinger Inc. Common Stock,Health Care,30.24,4.2,2888357,2.16,19.21,15.26,true,true,false,8.53,14.69,850
COHU,Cohu Inc. Common Stock,Industrials,60.615,4.96,1386585,1.52,55.07,43.21,true,true,false,8,14.69,2777
FFIV,F5 Inc. Common Stock,Telecommunications,450.1,4.18,683080,1.61,407.66,339.52,true,true,false,7.41,14.69,6578
SITM,SiTime Corporation Common Stock,Technology,638.32,3.92,716133,1.59,626.39,529.27,true,true,false,7.1,14.69,441
A,Agilent Technologies Inc. Common Stock,Industrials,161.94,3.5,2710324,1.63,145.31,130.51,true,true,false,6.76,14.69,18100
TTRX,Turn Therapeutics Inc. Common Stock,Health Care,15.34,2.68,172971,1.84,10.14,5.88,true,true,false,6.36,14.69,2
CIFR,Cipher Mining Inc. Common Stock,Finance,18.9,3.05,42272308,1.57,18.43,18.31,true,true,false,6.2,14.69,66
XMTR,Xometry Inc. Class A Common Stock,Real Estate,99.53,2.42,966798,1.8,92.06,70.3,true,true,false,6.03,14.69,1174
HOOD,Robinhood Markets Inc. Class A Common Stock,Finance,123.3,2.9,28170685,1.51,106.85,92.43,true,true,false,5.92,14.69,2900
DT,Dynatrace Inc. Common Stock,Technology,56.4,2.29,9455233,1.76,49.33,41.7,true,true,false,5.8,14.69,5600
XGN,Exagen Inc. Common Stock,Health Care,8.62,2.5,361380,1.57,6.45,4.61,true,true,false,5.65,14.69,220
