runDate,forDate,rank,symbol,name,industry,close,prob,todayRet,r5,big20,sinceBig,tight10,volr,dry5,uptick,runup,mcap,avgVol20
2026-09-17,2026-09-18,1,DFNS,T3 Defense Inc. Common Stock,Consumer Discretionary,7.88,1,0.25,-0.2192,0.1844,16,0.302,0.17,0.196,0.79,112.709,22381532,1727889
2026-09-17,2026-09-18,2,JUNS,Jupiter Neurosciences Inc. Common Stock,Health Care,3.01,1,-2.59,-0.0414,0.1992,18,0.1379,0,0.01,1.3,39.08,3968748,3885441
2026-09-17,2026-09-18,3,VEEA,Veea Inc. Common Stock,Technology,5.33,0.9998,-16.26,2.1353,2.1316,2,0.8856,1.73,9.733,1415.16,2.24,16580074,8277478
2026-09-17,2026-09-18,4,QNCX,Quince Therapeutics Inc. Common Stock,Health Care,27.01,0.9989,-1.6,-0.0997,0.112,14,0.1803,1.06,0.433,1.42,29.001,27470872,11206
2026-09-17,2026-09-18,5,CXAI,CXApp Inc. Class A Common Stock,Technology,2.53,0.9985,0.4,-0.1567,0.074,10,0.3518,0.52,0.161,0.99,27.427,5913637,130233
2026-09-17,2026-09-18,6,ETS,Elite Express Holding Inc. Class A Common Stock,Industrials,2.2,0.9981,4.76,0.5331,0.3504,6,0.6227,3.78,1.398,8.69,3.022,107176678,60401
2026-09-17,2026-09-18,7,AMOD,Alpha Modus Holdings Inc. Class A Common Stock,Miscellaneous,1.96,0.9968,-0.25,-0.0025,0.1185,3,0.2041,0.57,1.03,2.54,13.715,9773077,143680
2026-09-17,2026-09-18,8,LGVN,Longeveron Inc. Class A Common Stock,Health Care,2.71,0.9943,-61.94,-0.5869,0.0725,3,1.7306,13.39,4.492,123.9,0,8640019,107177
2026-09-17,2026-09-18,9,FFAI,Faraday Future Intelligent Electric Inc. Class A Common Stock,Industrials,1.77,0.9908,0.57,0.0115,0.0621,2,0.1356,1.54,0.566,2.66,12.053,10569700,933243
2026-09-17,2026-09-18,10,XHLD,TEN Holdings Inc. Common Stock,Consumer Discretionary,9.72,0.9896,2.86,-0.0725,0.3073,3,0.4979,3.14,0.523,6.66,11.196,116445046,1830708
2026-09-17,2026-09-18,11,LRHC,La Rosa Holdings Corp. Common Stock,Finance,2.84,0.9782,10.08,0.048,0.1008,0,0.1021,12.73,1.599,77.08,0.162,1570440,167499
2026-09-17,2026-09-18,12,FCUV,Focus Universal Inc. Common Stock,Industrials,5.275,0.9772,-1.03,-0.0268,0.4516,10,2.3498,0.31,0.011,0.13,1.835,5180113,202758
2026-09-17,2026-09-18,13,SFBS,ServisFirst Bancshares Inc. Common Stock,Finance,40.95,0.9713,-2.94,-0.0256,0.0235,10,0.0532,1.68,0.384,6.64,0,4477678569,316800
2026-09-17,2026-09-18,14,DBGI,Digital Brands Group Inc. Common Stock,Consumer Discretionary,4.42,0.969,5.87,0.0676,0.5609,4,0.6696,0.98,2.005,5.27,5.385,4126110,336058
2026-09-17,2026-09-18,15,IPW,iPower Inc. Common Stock,Consumer Discretionary,1.8,0.9662,-3.74,0.0909,0.3137,2,0.4444,6.23,3.722,655.89,0.091,1722119,158741
2026-09-17,2026-09-18,16,IESC,IES Holdings Inc. Common Stock,Industrials,317.16,0.964,-2.19,-0.0085,0.068,9,0.0879,1.21,0.184,2.21,0.07,12638417498,157360
2026-09-17,2026-09-18,17,TELA,TELA Bio Inc. Common Stock,Health Care,1.29,0.9566,12.17,0.5137,0.1231,10,0.38,2,1.035,14.62,1.018,58234999,200450
2026-09-17,2026-09-18,18,XXII,22nd Century Group Inc. Common Stock,Health Care,1.77,0.9496,3.45,-0.1571,0.0652,8,0.4175,0.97,0.388,1.51,4.601,1263769,14213
2026-09-17,2026-09-18,19,PFSA,Profusa Inc. Common Stock,Health Care,1.8,0.9487,-15.09,-0.2996,0.0917,16,0.6389,0.37,0.178,2.28,1,1090165,372515
2026-09-17,2026-09-18,20,SMXT,Solarmax Technology Inc. Common Stock,Consumer Discretionary,2.24,0.9477,15.34,-0.0088,0.1534,0,0.415,5.64,1.526,10.93,0.198,10622562,14130
2026-09-17,2026-09-18,21,WENN,Wen Acquisition Corp Class A Ordinary Shares,Uncategorized,10.4,0.9467,0,0,0.001,19,0.0014,18.65,1.739,114.15,0.012,0,17189
2026-09-17,2026-09-18,22,TCRT,Alaunos Therapeutics Inc. Common Stock,Health Care,1.6,0.9437,18.52,0.0256,0.1852,0,0.2062,19.75,9.855,3959.84,0.185,4064768,742339
2026-09-17,2026-09-18,23,CSAI,Cloudastructure Inc. Class A Common Stock,Technology,3.385,0.9402,9.55,-0.2477,0.0955,0,0.5406,0.63,1.791,6.03,11.264,2936393,28938
2026-09-17,2026-09-18,24,CRD/B,Crawford & Company,Uncategorized,13.1,0.9328,14.11,0.1036,0.1411,0,0.1237,15.23,5.624,232.22,0.322,0,37080
2026-09-17,2026-09-18,25,SGLY,Singularity Future Technology Ltd. Common Stock,Industrials,1.14,0.9324,-6.56,-0.4154,0.1959,6,0.7105,0.01,0.02,0.78,0,6160318,12178003
