date,rank,symbol,name,industry,close,prob,todayRetPct,fwdRetPct,hit
2026-04-08,1,BKNG,Booking Holdings Inc. Common Stock,Consumer Discretionary,173.41,1,-1.58,4.38,
2026-04-08,2,ELAB,PMGC Holdings Inc. Common Stock,Health Care,37.6672,1,-10.16,30.43,HIT
2026-04-08,3,BNAI,Brand Engagement Network Inc. Common Stock,Technology,42.89,1,-2.57,-5.2,
2026-04-08,4,LPCN,Lipocine Inc. Common Stock,Health Care,2,1,3.09,6.5,
2026-04-08,5,PFSA,Profusa Inc. Common Stock,Health Care,30.8114,0.9999,-32.43,-2.4,
2026-04-09,1,BKNG,Booking Holdings Inc. Common Stock,Consumer Discretionary,181,1,4.38,-2.43,
2026-04-09,2,LPCN,Lipocine Inc. Common Stock,Health Care,2.13,0.9999,6.5,-1.88,
2026-04-09,3,FCUV,Focus Universal Inc. Common Stock,Industrials,11.2721,0.9999,-12.85,-16.11,
2026-04-09,4,QNCX,Quince Therapeutics Inc. Common Stock,Health Care,1.8941,0.9999,12.33,-32.44,
2026-04-09,5,BNAI,Brand Engagement Network Inc. Common Stock,Technology,40.66,0.9997,-5.2,4.72,
2026-04-10,1,BKNG,Booking Holdings Inc. Common Stock,Consumer Discretionary,176.6,1,-2.43,-1.78,
2026-04-10,2,CYCN,Cyclerion Therapeutics Inc. Common Stock,Health Care,3.16,1,9.34,-7.91,
2026-04-10,3,INHD,Inno Holdings Inc. Common Stock,Industrials,4.3611,1,-31.86,2.73,
2026-04-10,4,UGRO,urban-gro Inc. Common Stock,Consumer Discretionary,15.48,1,-16.64,6.85,
2026-04-10,5,LPCN,Lipocine Inc. Common Stock,Health Care,2.09,1,-1.88,5.26,
2026-04-13,1,BKNG,Booking Holdings Inc. Common Stock,Consumer Discretionary,173.46,1,-1.78,2.18,
2026-04-13,2,AFJK,Aimei Health Technology Co. Ltd Ordinary Share,Uncategorized,56,1,-17.48,-27.86,
2026-04-13,3,INHD,Inno Holdings Inc. Common Stock,Industrials,4.48,1,2.73,0.51,
2026-04-13,4,BBGI,Beasley Broadcast Group Inc. Class A Common Stock,Consumer Discretionary,11.76,1,6.72,-11.56,
2026-04-13,5,CYCN,Cyclerion Therapeutics Inc. Common Stock,Health Care,2.91,0.9999,-7.91,-0.69,
2026-04-14,1,BKNG,Booking Holdings Inc. Common Stock,Consumer Discretionary,177.25,1,2.18,2.18,
