symbol,name,industry,close,marketCap,aboveSma12m,aboveSma200,aboveSma150,vcp,contractions,volatilityRatio,pe,peTrend,fcf,fcfTrend,eps,epsTrend,freeFloatPct,closelyHeldPct,employees,rulesPassed,rulesTotal,score
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,Real Estate,25.135,29797076170,true,true,true,true,14,0.25,,unknown,,unknown,,unknown,,,54,7,12,36.25
OGN,Organon & Co. Common Stock ,Health Care,13.7,3597749232,true,true,true,true,10,0.25,,unknown,,unknown,,unknown,,,10000,7,12,28.25
MFAN,MFA Financial Inc. 8.875% Senior Notes due 2029,Real Estate,25.1,2576984420,false,false,false,true,8,0.22,,unknown,,unknown,,unknown,,,307,4,12,21.33
HON,Honeywell International Inc. Common Stock,Industrials,229.45,72721885295,true,true,true,false,11,0.76,,unknown,,unknown,,unknown,,,101000,6,12,5
KKR,KKR & Co. Inc. Common Stock,Finance,108.83,97689682457,true,true,true,false,11,4.52,,unknown,,unknown,,unknown,,,5043,6,12,5
HOOD,Robinhood Markets Inc. Class A Common Stock,Finance,96.25,86536668776,true,true,true,false,13,0.44,,unknown,,unknown,,unknown,,,2900,6,12,5
DASH,DoorDash Inc. Class A Common Stock,Technology,212.72,92171137159,true,true,true,false,16,0.2,,unknown,,unknown,,unknown,,,31400,6,12,5
MCO,Moody's Corporation Common Stock,Finance,477.17,82645844000,true,true,true,false,12,0.52,,unknown,,unknown,,unknown,,,16076,6,12,5
APO,Apollo Global Management Inc. (New) Common Stock,Finance,134.54,79451676612,true,true,true,false,16,7.14,,unknown,,unknown,,unknown,,,2540,6,12,5
MMM,3M Company Common Stock,Health Care,180.21,92938336768,true,true,true,false,13,2.68,,unknown,,unknown,,unknown,,,60500,6,12,5
MAR,Marriott International Class A Common Stock,Consumer Discretionary,356.57,92981435312,true,true,true,false,14,0.4,,unknown,,unknown,,unknown,,,414000,6,12,5
REGN,Regeneron Pharmaceuticals Inc. Common Stock,Health Care,805.93,82974513479,true,true,true,false,13,0.85,,unknown,,unknown,,unknown,,,15410,6,12,5
SHW,Sherwin-Williams Company (The) Common Stock,Consumer Discretionary,349.97,84958070105,true,true,true,false,8,1.03,,unknown,,unknown,,unknown,,,64249,6,12,5
RCL,Royal Caribbean Cruises Ltd. Common Stock,Consumer Discretionary,301.79,80714364430,true,true,true,false,11,0.1,,unknown,,unknown,,unknown,,,108000,6,12,5
ELV,Elevance Health Inc. Common Stock,Health Care,390.24,84631071730,true,true,true,false,10,0.01,,unknown,,unknown,,unknown,,,97100,6,12,5
GM,General Motors Company Common Stock,Industrials,84.37,74030586514,true,true,true,false,10,1.52,,unknown,,unknown,,unknown,,,156000,6,12,5
CTAS,Cintas Corporation Common Stock,Industrials,197.82,79161542557,true,true,true,false,11,1.21,,unknown,,unknown,,unknown,,,48100,6,12,5
AON,Aon plc Class A Ordinary Shares (Ireland),Finance,347.22,73654193193,true,true,true,false,12,0.56,,unknown,,unknown,,unknown,,,60000,6,12,5
EMR,Emerson Electric Company Common Stock,Technology,162.05,90391490000,true,true,true,false,9,1.37,,unknown,,unknown,,unknown,,,71000,6,12,5
FCX,Freeport-McMoRan Inc. Common Stock,Basic Materials,68.38,98194878223,true,true,true,false,11,1.96,,unknown,,unknown,,unknown,,,29000,6,12,5
SE,Sea Limited American Depositary Shares each representing one Class A Ordinary Share,Consumer Discretionary,119.45,73161276153,true,true,true,false,11,4.9,,unknown,,unknown,,unknown,,,102700,6,12,5
ECL,Ecolab Inc. Common Stock,Consumer Discretionary,275.84,77325841852,true,true,true,false,12,0.86,,unknown,,unknown,,unknown,,,48000,6,12,5
ITW,Illinois Tool Works Inc. Common Stock,Industrials,287.28,81817344000,true,true,true,false,12,0.75,,unknown,,unknown,,unknown,,,43000,6,12,5
WMB,Williams Companies Inc. (The) Common Stock,Utilities,73.45,89841650818,true,true,true,false,10,0.15,,unknown,,unknown,,unknown,,,5987,6,12,5
CMI,Cummins Inc. Common Stock,Industrials,641.16,88264962485,true,true,true,false,13,0.49,,unknown,,unknown,,unknown,,,67400,6,12,5
WBD,Warner Bros. Discovery Inc. Series A Common Stock ,Consumer Discretionary,27.93,70123943560,true,true,true,false,10,1.64,,unknown,,unknown,,unknown,,,35500,6,12,5
MDLZ,Mondelez International Inc. Class A Common Stock,Consumer Staples,62.18,79360834984,true,true,true,false,14,0.28,,unknown,,unknown,,unknown,,,91000,6,12,5
EPD,Enterprise Products Partners L.P. Common Stock,Utilities,38.61,83377413495,true,true,true,false,15,0.29,,unknown,,unknown,,unknown,,,8000,6,12,5
HLT,Hilton Worldwide Holdings Inc. Common Stock ,Consumer Discretionary,326.12,73398168449,true,true,true,false,15,0.24,,unknown,,unknown,,unknown,,,182000,6,12,5
CSX,CSX Corporation Common Stock,Industrials,50.58,93698181302,true,true,true,false,11,0.43,,unknown,,unknown,,unknown,,,23000,6,12,5
AJG,Arthur J. Gallagher & Co. Common Stock,Finance,247.97,63554711000,true,true,true,false,10,1.85,,unknown,,unknown,,unknown,,,72000,6,12,5
RSG,Republic Services Inc. Common Stock,Utilities,215.26,65915405644,true,true,true,false,11,2.85,,unknown,,unknown,,unknown,,,42000,6,12,5
