symbol,name,price,marketCap,volume,industry
NVDA,NVIDIA Corporation Common Stock,213.17,5180031000000.0,179821651,Technology
GOOGL,Alphabet Inc. Class A Common Stock,349.78,4231444016186.0,27774861,Technology
GOOG,Alphabet Inc. Class C Capital Stock,347.5,4203861843515.0,18460091,Technology
AAPL,Apple Inc. Common Stock,270.71,3974331409400.0,39977535,Technology
MSFT,Microsoft Corporation Common Stock,429.25,3187451280873.0,30373284,Technology
AMZN,Amazon.com Inc. Common Stock,259.7,2792879192200.0,42129865,Consumer Discretionary
AVGO,Broadcom Inc. Common Stock,399.83,1893062380009.0,25492642,Technology
META,Meta Platforms Inc. Class A Common Stock,671.34,1704145100907.0,10583192,Technology
TSLA,Tesla Inc. Common Stock,376.02,1412227289973.0,50693519,Industrials
BRK/B,Berkshire Hathaway Inc.,478.16,1054969845157.0,4897331,
WMT,Walmart Inc. Common Stock,127.59,1017198835103.0,16336083,Consumer Discretionary
JPM,JP Morgan Chase & Co. Common Stock,311.45,835377303452.0,7396927,Finance
LLY,Eli Lilly and Company Common Stock,874.0,825771701994.0,2557350,Health Care
XOM,Exxon Mobil Corporation Common Stock,150.56,627347905484.0,15162058,Energy
V,Visa Inc.,309.3,592621678346.0,8797272,Real Estate
MU,Micron Technology Inc. Common Stock,504.29,568705004579.0,44553682,Technology
JNJ,Johnson & Johnson Common Stock,227.79,548339953824.0,7174721,Health Care
AMD,Advanced Micro Devices Inc. Common Stock,323.21,526941796761.0,42905802,Technology
ORCL,Oracle Corporation Common Stock,165.96,477308594160.0,33673550,Technology
MA,Mastercard Incorporated Common Stock,507.62,452701765310.0,3891197,Real Estate
COST,Costco Wholesale Corporation Common Stock,994.0,440990624760.0,1775332,Consumer Discretionary
INTC,Intel Corporation Common Stock,84.52,424797520000.0,147010897,Technology
NFLX,Netflix Inc. Common Stock,92.27,388530380179.0,33367318,Consumer Discretionary
CAT,Caterpillar Inc. Common Stock,817.87,380544550223.0,1873467,Industrials
BAC,Bank of America Corporation Common Stock,52.66,376293045471.0,21150303,Finance
CVX,Chevron Corporation Common Stock,188.36,375266908082.0,10738738,Energy
ABBV,AbbVie Inc. Common Stock,197.69,349666634309.0,6295339,Health Care
PG,Procter & Gamble Company (The) Common Stock,149.17,347357109548.0,7964920,Consumer Discretionary
CSCO,Cisco Systems Inc. Common Stock (DE),86.86,343087709628.0,16885939,Telecommunications
PLTR,Palantir Technologies Inc. Class A Common Stock,141.18,338430640649.0,24693076,Technology
